Common Curriculum,,,,,,,
,ENGRI,,,,,,
,ENGRI,1140,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1140
BEE,2510,Engineering Processes for Environmental Sustainablility,Fall,3,J. Goldfarb,(crosslisted) ENGRD 2510 ,
Core Classes,,,,,,,
,Intro Biology,,,,,,
,BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer","3,4","Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",
,BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",
,BIOSM,1500,Investigative Marine Biology Laboratory,Summer,3,"D. Fudge, D. Taylor",
,BEE,3500/5500,Heat and Mass Transfer in Biological Engineering,Fall,4,A. Datta,
,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
,CEE,3040,Uncertainty Analysis in Engineering,Fall,4,R.A. Daziano,
,Focus Area Electives,,,,,,
,BEE,4550/6550,Biologically Inspired Microsystems Engineering,Fall,"2,3",M. Wu,
,BEE,3900/5900,Bio-Robotics,Fall,3,S. Jung,
,BEE,3299/5299,Sustainable Development,Spring,3,B. Richards,
,BEE,3710,Physical Hydrology for Ecosystems,Spring,3,T. Walter,
,BEE,4270/5270,Water Measurement and Analysis Methods,Fall,3,"B. Richards, T. Steenhuis",
,BEE,4110/6110,Hydrologic Engineering in a Changing Climate,Fall,3,S. Steinschneider,
,BEE,4710/6710,Introduction to Groundwater,Spring,3,"P. Fulton, T. Steenhuis",(crosslisted) EAS 4710
,BEE,4730/5730,Watershed Engineering,Fall,4,T. Walter,
,BEE,4750/5750,Environmental Systems Analysis,Fall,3,V. Srikrishnan,
,BEE,4800/6800,Atmospheric Chemistry: From Air Pollution to Global Climate Change ,Fall,3,P. Hess,(crosslisted) EAS 4800
,CEE,4210/5210,Renewable Energy Systems,Fall,3,F. Vanek,
,MAE,4020/5020,Wind Power,Fall,3,R. Barthelmie,
