Common Curriculum,,,,,,,
,ENGRI,,,,,,
,ENGRI,1140,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1140
,Engineering Distribution,,,,,,
,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
Core Curriculum,,,,,,,
EAS,2250,The Earth System,"Fall, Spring",4,Fall: R. Lohman; Spring: L. Brown,(crosslisted) ENGRD 2250,
,Biology Classes,,,,,,
,BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer","3,4","Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",
,BIOEE,1780,An Introduction to Evolutionary Biology and Diversity,"Fall, Spring","4,5","Fall, M. Greischar; Spring, R. Reed",
,BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",
,BIOSM,1780,Evolution and Marine Diversity,Summer,4,W. Allmon,
,Field Courses,,,,,,
,EAS,4370,Field Geophysics,Spring,4,K. Keranen,
,EAS Concentration,,,,,,
,EAS,3410,Atmospheric Thermodynamics and Hydrostatics,Fall,3,A. Degaetano,
,EAS,3030,Introduction to Biogeochemistry,Fall,4,"L. Derry, J. Yavitt",(crosslisted) NTRES 3030
,EAS,3450/5450,Environmental Geophysics,Fall,4,K. Keranen,
,EAS,3010/5011,Evolution of the Earth System,Fall,4,"W. Allmon, T. Jordan",
