Common Curriculum,,,,,,,
,ENGRI,,,,,,
,ENGRI,1140,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1140
,Engineering Distribution,,,,,,
,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
Core Classes,,,,,,,
MAE,3240,Heat Transfer,"Spring, Summer",3,Staff,,
,Senior Design Elective,,,,,,
MAE,4021,Wind Power,Fall,4,R. Barthelmie,,
,Math Elective,,,,,,
CEE,3040,Uncertainty Analysis in Engineering,Fall,4,R.A. Daziano,,
,Technical Elective,,,,,,
BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer","3,4","Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",,
BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",,
,Major Approved Elective,,,,,,
MAE,4020/5020,Wind Power,Fall,3,R. Barthelmie,,
