Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
AEM,1500,An Introduction to the Economics of Environmental and Natural Resources,Spring,3,C. Kling,
AEM,1600,The Buisness of Modern Medicine,Fall,1,R. Karpman,
AEM,2000,Contemporary Controversies in the Global Economy,Spring,3,C. B. Barrett,
AEM,2050,Introduction to Agricultural Finance,Spring,3,C. Wolf,
AEM,2110,The Business of Biofuels,Fall,1.5,H. de Gorter,
AEM,2350,Introduction To The Economics Of Development,"Fall, Summer",3,"Fall, S. Kyle; Summer, Staff",
AEM,2500,Environmental and Resource Economics,Fall,3,A. Ortiz-Bobea,
AEM,2600,Managerial Economics,Fall,3,"T. Alexander, B. Leyden",
AEM,2770,Excursions in Computational Sustainability,Spring,3,C. Gomes,"(crosslisted) CS 2770, INFO 2770"
AEM,3020,Farm Business Management,Fall,4,W.A. Knoblauch,
AEM,3385,Social Entrepreneurship Practicum: Anabel’s Grocery,"Fall, Spring",3,A. Wessels,
AEM,4090,Environmental Finance and Markets,Spring,3,J. Tobin,
AEM,4315,Economics of Developing Countries,Spring,4,B. Dillon,(crosslisted) ECON 3550 
AEM,3270/5270,Supply Chain Strategy and Supermarket Simulation,Fall,3,D. Hooker,
AEM,4500,Resource Economics,Spring,3,C.-Y.C. Lin Lawell,(crosslisted) ECON 3860
AEM,4510/5510,Environmental Economics,Spring,3,I. Rudik,(crosslisted) ECON 3865
AEM,2805,Strategic Responses to Poverty and Hunger in Developing Countries,"Fall, Spring",3,M. Constas,
AEM,2555,Corporate Sustainability: The Business Challenge,Fall,3,J. Tobin,
AEM,3260/5260,Cooperative Business Management,Spring,3,T.M. Schmit,
AEM,4415/5415,Pre-Engagement with Social Enterprises in Emerging Markets,Fall,3,F. Mubichi-Kut.,
AEM,4515/5515,Business and Economics of Energy,Fall,3,T. Gerarden,(crosslisted) ECON 3870 
AEM,4580/6580,The Economics and Psychology of Sustainable Business,Fall,1.5,W. Schulze,
AEM,3390/6390,Research Methods in International Development,Spring,3,A.K. Basu,
AEM,3015,Developing Racial Equity in Organizations ,Fall,3,J. Majka,
AIIS,1110,Indigenous Issues in Global Perspectives,Spring,3,T. Richardson,(crosslisted) AMST 1601
AIIS,2100,Indigenous Ingenuities as Living Networks,Spring,3,Staff,"(crosslisted) AMST 2108, ARTH 2101"
AIIS,2600,Introduction to Native American Literature,Fall,3,J. Hu Pegues,"(crosslisted) AMST 2600, ENGL 2600"
AIIS,3560,Thinking from a Different Place: Indigenous Philosophies,Fall,3,E. Cheyfitz,"(crosslisted) AMST 3562, ENGL 3560"
ALS,2000,Leadership for Sustainability,Spring,3,"K. Anderson, S. Brylinsky, K. Hilversum, M. Hoffman",
AMST,1290,American Society through Film,Fall,3,D. Strang.,
ANSC,1120,Sustainable Animal Husbandry ,Spring,3,M. Soberon,
ANSC,2300,Introduction to Domestic Mammalian Behavior,Fall,2,L. Goodale,
ANSC,3310,Applied Dairy Cattle Genetics,Spring,4,H. Huson,
ANSC,3450/5450,Reproductive Physiology and Management of Dairy Cattle,Spring,3,J. Giordano,
ANSC,3510/5510,Dairy Herd Management,Spring,4,J. Giordano,
ANSC,4110/6110,Integrated Cattle Nutrition,Fall,4,M. Van Amburgh,
ANSC,4120/6120,Whole-Farm Nutrient Management,Spring,4,"Q. Ketterings, M. Van Amburgh",
ANSC,4140/5140,Ethics and Animal Science,Spring,2,D. Cherney,
ANSC,4880/6880,"Global Food, Energy, and Water Nexus- Engage the US, China, and India for Sustainability ",Fall,"3, 4","X. Lei, T. Li, D. Miller, P. Pingali, R. Richardson, J. Tester, K.M. Zhang","(crosslisted) AEM 4880, CHEME 4880, FDSC 4880"
ANSC,4560,Dairy Management Fellowship,Spring,2,M. Van Amburgh,
ANSC,1200,Dairy Industry Topics and Issues ,Fall,1,"J. Giordano, B. Nguyen, T. Overton, M. Van Amburgh",
ANSC,3540/5540,Dairy Cattle Herd Health ,Fall,3,B. Nguyen,
ANSC,3850/5850,Dairy Sheep Management ,"Fall, Spring",3,"N. Kochendoerfer, J. Waltemyer",
ANSC,4510/6510,Dairy Herd Business Management ,Fall,3,"J. Karszes, M. Van Amburgh",
ANTHR,2400,Cultural Diversity and Contemporary Issues,Spring,3,N. Raheja,
ANTHR,2468,"Medicine, Culture, and Society",Spring,4,A. Nading,"(crosslisted) BSOC 2468, FGSS 2468, STS 2468"
ANTHR,2482,Anthropology of Climate Change,Spring,3,C. Ahmann,
ANTHR,3390,Primate Behavior and Ecology with Emphasis on African Apes,Spring,4,A.C. Arcadi,
ANTHR,2437,"Economy, Power, and Inequality ",Fall,3,M. Welker,(crosslisted) SHUM 2437 
ANTRH,2440,The Social Life of Money,Spring,3,A. Bize,
ARCH,2102,Design IV,Spring,6,Staff,
ARCH,2614,Building Technology I: Materials and Methods,Fall,3,Staff,
ARCH,2616,Environmental Systems II: Building Dynamics,Spring,3,Staff,
ARCH,3301,"Architectural Analysis II: Architecture, the City, and Landscape",Fall,3,Staff,
ARCH,4101,Design VII,"Fall, Spring",6,Staff,
ARCH,4102,Design VIII,"Fall, Spring",6,Staff,
ARCH,4698,Special Investigations in Environmental Systems and Conservation,"Fall, Spring","1,2,3",Staff,
ARCH,1611/5611,Environmental Systems I: Introduction to Sustainable Design ,Fall,3,Staff,
ASIAN,1100,FWS: Religion and Ecological Sustainability,Spring,3,J.M. Law,
