Category,Sub-Category,Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
Common Curriculum,ENGRI,ENGRI,1141,Materials: The Future of Energy,Fall,4,R.B. van Dover,(crosslisted) MSE 1141
Common Curriculum,,BEE,2511,Engineering Processes for Environmental Sustainablility,Fall,4,J. Goldfarb,(crosslisted) ENGRD 2510 
Core Classes,Intro Biology,BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer","3,4","Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",
Core Classes,Intro Biology,BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",
Core Classes,Intro Biology,BIOSM,1500,Investigative Marine Biology Laboratory,Summer,3,"D. Fudge, D. Taylor",
Core Classes,Intro Biology,BEE,3500/5500,Heat and Mass Transfer in Biological Engineering,Fall,4,A. Datta,
Core Classes,Intro Biology,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
Core Classes,Intro Biology,CEE,3040,Uncertainty Analysis in Engineering,Fall,4,R.A. Daziano,
Core Classes,Focus Area Electives,BEE,4550/6550,Biologically Inspired Microsystems Engineering,Fall,"2,3",M. Wu,
Core Classes,Focus Area Electives,BEE,3900/5900,Bio-Robotics,Fall,3,S. Jung,
Core Classes,Focus Area Electives,BEE,3299/5299,Sustainable Development,Spring,3,B. Richards,
Core Classes,Focus Area Electives,BEE,3710,Physical Hydrology for Ecosystems,Spring,3,T. Walter,
Core Classes,Focus Area Electives,BEE,4270/5270,Water Measurement and Analysis Methods,Fall,3,"B. Richards, T. Steenhuis",
Core Classes,Focus Area Electives,BEE,4110/6110,Hydrologic Engineering in a Changing Climate,Fall,3,S. Steinschneider,
Core Classes,Focus Area Electives,BEE,4710/6710,Introduction to Groundwater,Spring,3,"P. Fulton, T. Steenhuis",(crosslisted) EAS 4710
Core Classes,Focus Area Electives,BEE,4730/5730,Watershed Engineering,Fall,4,T. Walter,
Core Classes,Focus Area Electives,BEE,4750/5750,Environmental Systems Analysis,Fall,3,V. Srikrishnan,
Core Classes,Focus Area Electives,BEE,4800/6800,Atmospheric Chemistry: From Air Pollution to Global Climate Change�,Fall,3,P. Hess,(crosslisted) EAS 4800
Core Classes,Focus Area Electives,CEE,4210/5210,Renewable Energy Systems,Fall,3,F. Vanek,
Core Classes,Focus Area Electives,MAE,4020/5020,Wind Power,Fall,3,R. Barthelmie,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,BEE,4550/6551,Biologically Inspired Microsystems Engineering,Fall,"2,4",M. Wu,,
,BEE,3900/5901,Bio-Robotics,Fall,3.145454545,S. Jung,,
,BEE,3299/5300,Sustainable Development,Spring,3.154545455,B. Richards,,
,BEE,3711,Physical Hydrology for Ecosystems,Spring,3.163636364,T. Walter,,
,BEE,4270/5271,Water Measurement and Analysis Methods,Fall,3.172727273,"B. Richards, T. Steenhuis",,
,BEE,4110/6111,Hydrologic Engineering in a Changing Climate,Fall,3.181818182,S. Steinschneider,,
,BEE,4710/6711,Introduction to Groundwater,Spring,3.190909091,"P. Fulton, T. Steenhuis",(crosslisted) EAS 4890,
,BEE,4730/5731,Watershed Engineering,Fall,3.2,T. Walter,,
,BEE,4750/5751,Environmental Systems Analysis,Fall,3.209090909,V. Srikrishnan,,
,BEE,4800/6801,Atmospheric Chemistry: From Air Pollution to Global Climate Change ,Fall,3.218181818,P. Hess,(crosslisted) EAS 4980,
,CEE,4210/5211,Renewable Energy Systems,Fall,3.227272727,F. Vanek,,
,MAE,4020/5021,Wind Power,Fall,3.236363636,R. Barthelmie,,
