Category,Sub-Category,Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
Common Curriculum,ENGRI,ENGRI,3280,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1141
Common Curriculum,Engineering Distribution,ENGRD,4350,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2211
Core Curriculum,,EAS,2250,The Earth System,"Fall, Spring",4,Fall: R. Lohman; Spring: L. Brown,(crosslisted) ENGRD 2250
Core Curriculum,Biology Classes,BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer","3,4","Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",
Core Curriculum,Biology Classes,BIOEE,1780,An Introduction to Evolutionary Biology and Diversity,"Fall, Spring","4,5","Fall, M. Greischar; Spring, R. Reed",
Core Curriculum,Biology Classes,BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",
Core Curriculum,Biology Classes,BIOSM,1780,Evolution and Marine Diversity,Summer,4,W. Allmon,
Core Curriculum,Field Courses,EAS,4370,Field Geophysics,Spring,4,K. Keranen,
Core Curriculum,EAS Concentration,EAS,3410,Atmospheric Thermodynamics and Hydrostatics,Fall,3,A. Degaetano,
Core Curriculum,EAS Concentration,EAS,3030,Introduction to Biogeochemistry,Fall,4,"L. Derry, J. Yavitt",(crosslisted) NTRES 3030
Core Curriculum,EAS Concentration,EAS,3450/5450,Environmental Geophysics,Fall,4,K. Keranen,
Core Curriculum,EAS Concentration,EAS,3010/5011,Evolution of the Earth System,Fall,4,"W. Allmon, T. Jordan",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Field Courses,5020,,,4.146907216,,,
,EAS,5290,Field Geophysics,Spring,4.211340206,K. Keranen,,
,EAS Concentration,5560,,,4.275773196,,,
,EAS,5830,Atmospheric Thermodynamics and Hydrostatics,Fall,4.340206186,A. Degaetano,,
,EAS,6100,Introduction to Biogeochemistry,Fall,4.404639175,"L. Derry, J. Yavitt",(crosslisted) NTRES 3031,
,EAS,3450/5451,Environmental Geophysics,Fall,4.469072165,K. Keranen,,
,EAS,3010/5012,Evolution of the Earth System,Fall,4.533505155,"W. Allmon, T. Jordan",,
