Category,Sub-Category,Dept,Course #,Title,Semester,Credit,Faculty,Crosslists
Common Curriculum,Biological Sciences,BIOEE,1610,Introductory Biology: Ecology and the Environment,"Fall, Spring, Summer","3,4","Fall, X. Xu; Spring, R. Howarth; Summer, J. St. Juliana",
Common Curriculum,Biological Sciences,BIOSM,1610,Ecology and the Marine Environment,Summer,3,"J. Factor, J. Sparks",
Common Curriculum,Biological Sciences,BIOEE,1780,An Introduction to Evolutionary Biology and Diversity,"Fall, Spring","4,5","Fall, M. Greischar; Spring, R. Reed",
Common Curriculum,Biological Sciences,BIOSM,1780,Evolution and Marine Diversity,Summer,4,W. Allmon,
Common Curriculum,ENGRI,ENGRI,1140,Materials: The Future of Energy,Fall,3,R.B. van Dover,(crosslisted) MSE 1140
Common Curriculum,Engineering Distribution Courses,BEE,2510,Engineering Processes for Environmental Sustainablility,Fall,3,J. Goldfarb,(crosslisted) ENGRD 2510Ê
Core Classes,Core,ENGRD,2210,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2210
Core Classes,Core,CEE,3040,Uncertainty Analysis in Engineering,Fall,4,R.A. Daziano,
Core Classes,Core,CEE,3510,Environmental Quality Engineering,Spring,3,R. Richardson,
Core Classes,Core,BEE,4750/5750,Environmental Systems Analysis,Fall,3,V. Srikrishnan,
Core Classes,Laboratory Courses,BEE,4270/5270,Water Measurement and Analysis Methods,Fall,3,"B. Richards, T. Steenhuis",
Core Classes,Earth Science Courses,BEE,3710,Physical Hydrology for Ecosystems,Spring,3,T. Walter,
Core Classes,Earth Science Courses,EAS,2250,The Earth System,"Fall, Spring",4,Fall: R. Lohman; Spring: L. Brown,(crosslisted) ENGRD 2250
Core Classes,Earth Science Courses,EAS,2680,Climate and Global Warming,Spring,3,F. Lehner,
Core Classes,Earth Science Courses,EAS,3030,Introduction to Biogeochemistry,Fall,4,"L. Derry, J. Yavitt",(crosslisted) NTRES 3030
Core Classes,Earth Science Courses,PLSCS,3650,"Environmental Chemistry: Soil, Air, and Water",Spring,3,C. Martinez,
Core Classes,Earth Science Courses,NTRES,3240/6240,"Sustainable, Ecologically Based Management of Water Resources",Spring,3,R. Schneider,
Core Classes,Design Electives,CEE,4210/5210,Renewable Energy Systems,Fall,3,F. Vanek,
Core Classes,Design Electives,MAE,4020/5020,Wind Power,Fall,3,R. Barthelmie,
Core Classes,Design Electives,BEE,4110/6110,Hydrologic Engineering in a Changing Climate,Fall,3,S. Steinschneider,
Core Classes,Capstone Design,BEE,4730/5730,Watershed Engineering,Fall,4,T. Walter,
Core Classes,Capstone Design,CEE,4565/6565,Waste Water Processes and Resources Recovery,Fall,3,A. Gu,
Core Classes,Major Approved Electives,BEE,4800/6800,Atmospheric Chemistry: From Air Pollution to Global Climate ChangeÊ,Fall,3,P. Hess,(crosslisted) EAS 4800
Core Classes,Major Approved Electives,CEE,4510/5510,Microbiology for Environmental Engineering,Fall,3,R. Richardson,
Core Classes,Major Approved Electives,BEE,4710/6710,Introduction to Groundwater,Spring,3,"P. Fulton, T. Steenhuis",(crosslisted) EAS 4710
Core Classes,Major Approved Electives,BEE,3299/5299,Sustainable Development,Spring,3,B. Richards,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Core Classes,,,,,,,,
ENGRD,4220,Thermodynamics,"Fall, Summer",3,Fall: E. Fisher; Summer: Staff,(crosslisted) MAE 2211,,
CEE,4870,Uncertainty Analysis in Engineering,Fall,2.9,R.A. Daziano,,,
CEE,5520,Environmental Quality Engineering,Spring,2.8,R. Richardson,,,
BEE,4750/5751,Environmental Systems Analysis,Fall,2.7,V. Srikrishnan,,,
,Laboratory Courses,,,,,,,
,BEE,4270/5271,Water Measurement and Analysis Methods,Fall,3.039954853,"B. Richards, T. Steenhuis",,
,Earth Science Courses,,,,3.025733634,,,
,BEE,3262,Physical Hydrology for Ecosystems,Spring,3.011512415,T. Walter,,
,EAS,3328,The Earth System,"Fall, Spring",2.997291196,Fall: R. Lohman; Spring: L. Brown,(crosslisted) ENGRD 2251,
,EAS,3394,Climate and Global Warming,Spring,2.983069977,F. Lehner,,
,EAS,3460,Introduction to Biogeochemistry,Fall,2.968848758,"L. Derry, J. Yavitt",(crosslisted) NTRES 3031,
,PLSCS,3526,"Environmental Chemistry: Soil, Air, and Water",Spring,2.95462754,C. Martinez,,
,NTRES,3240/6241,"Sustainable, Ecologically Based Management of Water Resources",Spring,2.940406321,R. Schneider,,
,Design Electives,,,,2.926185102,,,
,CEE,4210/5211,Renewable Energy Systems,Fall,2.911963883,F. Vanek,,
,MAE,4020/5021,Wind Power,Fall,2.897742664,R. Barthelmie,,
,BEE,4110/6111,Hydrologic Engineering in a Changing Climate,Fall,2.883521445,S. Steinschneider,,
,Capstone Design,,,,2.869300226,,,
,BEE,4730/5731,Watershed Engineering,Fall,2.855079007,T. Walter,,
,CEE,4565/6566,Waste Water Processes and Resources Recovery,Fall,2.840857788,A. Gu,,
,Major Approved Electives,,,,2.826636569,,,
,BEE,4800/6801,Atmospheric Chemistry: From Air Pollution to Global Climate ChangeÂ ,Fall,2.81241535,P. Hess,(crosslisted) EAS 4620,
,CEE,4510/5511,Microbiology for Environmental Engineering,Fall,2.798194131,R. Richardson,,
,BEE,4710/6711,Introduction to Groundwater,Spring,2.783972912,"P. Fulton, T. Steenhuis",(crosslisted) EAS 4530,
,BEE,3299/5300,Sustainable Development,Spring,2.769751693,B. Richards,,
